Date,AAPL,Bitcoin,GOOGL,MSFT,VNINDEX,AverageTotal,Average(Bitcoin Excluded),VNINDEXvsAAPL,VNINDEXvsBitcoin,VNINDEXvsGOOGL,VNINDEXvsMSFT,VNINDEX Price (VND),VNINDEXPriceUSD,MSFTPrice,GOOGLPrice,BitcoinPrice,AAPLPrice
12/31/2021,-0.0035,-0.0192,-0.0092,-0.0088,0.0083,-0.00648,-0.0033,246.46,46288.39,213.74,405.21,1498.28,68.89,336.32,144.85,46219.5,177.57
12/30/2021,-0.0066,0.0142,-0.0031,-0.0077,0.0001,-0.00062,-0.004325,246.52,47191.62,214.52,407.64,1485.97,68.32,339.32,146.2,47123.3,178.2
12/29/2021,0.0005,-0.0228,-0.0002,0.0021,-0.0057,-0.00522,-0.000825,247.69,46530.01,214.96,410.26,1485.82,68.31,341.95,146.65,46461.7,179.38
12/28/2021,-0.0058,-0.0618,-0.0082,-0.0035,0.0037,-0.01512,-0.00345,248,47613.91,215.40,409.96,1494.39,68.71,341.25,146.69,47545.2,179.29
12/27/2021,0.023,-0.002,0.0067,0.0232,0.008,0.01178,0.015225,248.78,50746.65,216.36,410.90,1488.88,68.45,342.45,147.91,50678.2,180.33
12/23/2021,0.0036,0.0453,0.0034,0.0045,-0.014,0.00856,-0.000625,243.27,50867.99,213.91,401.68,1456.96,66.99,334.69,146.92,50801,176.28
12/22/2021,0.0153,-0.0062,0.0205,0.0181,-0.0007,0.0094,0.0133,243.58,48667.64,214.35,401.14,1477.67,67.94,333.2,146.41,48599.7,175.64
12/21/2021,0.0191,0.0428,0.0132,0.0231,0.001,0.01984,0.0141,240.98,48969.99,211.46,395.28,1478.74,67.99,327.29,143.47,48902,172.99
12/20/2021,-0.0081,0.0041,-0.0008,-0.012,-0.0017,-0.0037,-0.00565,237.67,46963.12,209.53,387.83,1477.33,67.92,319.91,141.61,46895.2,169.75
12/17/2021,-0.0065,-0.0306,-0.0188,-0.0034,0.0022,-0.01142,-0.006625,239.18,46240.24,209.77,391.84,1479.79,68.04,323.8,141.73,46172.2,171.14
12/16/2021,-0.0393,-0.0254,-0.0136,-0.0291,0.0008,-0.02132,-0.0203,240.15,47696.09,212.34,392.79,1476.61,67.89,324.9,144.45,47628.2,172.26
12/15/2021,0.0285,0.0104,0.0176,0.0192,-0.0004,0.01506,0.016225,247.14,48939.34,214.28,402.49,1475.50,67.84,334.65,146.44,48871.5,179.3
12/14/2021,-0.008,0.0356,-0.0132,-0.0326,-0.0001,-0.00366,-0.013475,242.19,48434.36,211.77,396.20,1476.02,67.86,328.34,143.91,48366.5,174.33
12/13/2021,-0.0207,-0.0674,-0.0147,-0.0092,0.0087,-0.02066,-0.008975,243.61,46771.47,213.70,407.27,1476.21,67.87,339.4,145.83,46703.6,175.74
12/10/2021,0.028,-0.0097,0.0025,0.0283,-0.003,0.00922,0.01395,246.74,47204.49,215.29,409.83,1463.54,67.29,342.54,148,47137.2,179.45
12/9/2021,-0.003,-0.057,-0.0037,-0.0056,0.0104,-0.01178,-0.000475,242.05,47664.09,215.13,400.59,1467.98,67.49,333.1,147.64,47596.6,174.56
12/8/2021,0.0228,-0.0024,0.0062,0.0001,0.0042,0.00618,0.008325,241.88,50540.70,214.99,401.77,1452.87,66.8,334.97,148.19,50473.9,175.08
12/7/2021,0.0354,0.0007,0.0287,0.0268,0.0235,0.02302,0.0286,237.7,50661.72,213.79,401.44,1446.77,66.52,334.92,147.27,50595.2,171.18
12/6/2021,0.0215,0.0234,0.0081,0.0098,-0.0206,0.00844,0.0047,230.31,50627.09,208.14,391.18,1413.58,64.99,326.19,143.15,50562.1,165.32
12/3/2021,-0.0117,-0.0507,-0.0067,-0.0197,-0.0261,-0.02298,-0.01605,228.2,53697.86,208.36,389.37,1443.32,66.36,323.01,142,53631.5,161.84
12/2/2021,-0.0061,-0.0125,0.0136,-0.0018,-0.0021,-0.00178,0.0009,231.9,56564.14,211.11,397.63,1482.05,68.14,329.49,142.97,56496,163.76
12/1/2021,-0.0032,0.0058,-0.006,-0.0015,0.0046,-0.00006,-0.001525,233.05,57278.58,209.33,398.36,1485.19,68.28,330.08,141.05,57210.3,164.77
11/30/2021,0.0316,-0.0158,-0.025,-0.0179,-0.0043,-0.00628,-0.0039,233.27,56950.87,209.87,398.56,1478.44,67.97,330.59,141.9,56882.9,165.3
