Date,AAPL,Bitcoin,GOOGL,MSFT,VNINDEX,Average Total,Average (Bitcoin Excluded),,,
12/31/2021,-0.0035,-0.0192,-0.0092,-0.0088,0.0083,-0.00648,-0.0033,,,9.1428
12/30/2021,-0.0066,0.0142,-0.0031,-0.0077,0.0001,-0.00062,-0.004325,,,9.1428
12/29/2021,0.0005,-0.0228,-0.0002,0.0021,-0.0057,-0.00522,-0.000825,,,
12/28/2021,-0.0058,-0.0618,-0.0082,-0.0035,0.0037,-0.01512,-0.00345,,,0.00234837
12/27/2021,0.023,-0.002,0.0067,0.0232,0.008,0.01178,0.015225,,,
12/23/2021,0.0036,0.0453,0.0034,0.0045,-0.014,0.00856,-0.000625,,,
12/22/2021,0.0153,-0.0062,0.0205,0.0181,-0.0007,0.0094,0.0133,,,
12/21/2021,0.0191,0.0428,0.0132,0.0231,0.001,0.01984,0.0141,,,
12/20/2021,-0.0081,0.0041,-0.0008,-0.012,-0.0017,-0.0037,-0.00565,,,
12/17/2021,-0.0065,-0.0306,-0.0188,-0.0034,0.0022,-0.01142,-0.006625,,,
12/16/2021,-0.0393,-0.0254,-0.0136,-0.0291,0.0008,-0.02132,-0.0203,,,
12/15/2021,0.0285,0.0104,0.0176,0.0192,-0.0004,0.01506,0.016225,,,
12/14/2021,-0.008,0.0356,-0.0132,-0.0326,-0.0001,-0.00366,-0.013475,,,
12/13/2021,-0.0207,-0.0674,-0.0147,-0.0092,0.0087,-0.02066,-0.008975,,,
12/10/2021,0.028,-0.0097,0.0025,0.0283,-0.003,0.00922,0.01395,,,
12/9/2021,-0.003,-0.057,-0.0037,-0.0056,0.0104,-0.01178,-0.000475,,,
12/8/2021,0.0228,-0.0024,0.0062,0.0001,0.0042,0.00618,0.008325,,,
12/7/2021,0.0354,0.0007,0.0287,0.0268,0.0235,0.02302,0.0286,,,
12/6/2021,0.0215,0.0234,0.0081,0.0098,-0.0206,0.00844,0.0047,,,
12/3/2021,-0.0117,-0.0507,-0.0067,-0.0197,-0.0261,-0.02298,-0.01605,,,
12/2/2021,-0.0061,-0.0125,0.0136,-0.0018,-0.0021,-0.00178,0.0009,,,
12/1/2021,-0.0032,0.0058,-0.006,-0.0015,0.0046,-0.00006,-0.001525,,,
11/30/2021,0.0316,-0.0158,-0.025,-0.0179,-0.0043,-0.00628,-0.0039,,,
11/29/2021,0.0219,0.0088,0.0235,0.0211,-0.0055,0.01396,0.01525,,,
11/26/2021,-0.0317,-0.0883,-0.0269,-0.0244,-0.0052,-0.0353,-0.02205,,,
11/24/2021,0.0033,-0.007,0.0023,0.0007,0.0172,0.0033,0.005875,,,
11/23/2021,0.0024,0.0225,-0.0036,-0.0063,0.0113,0.00526,0.00095,,,
11/22/2021,0.0029,-0.041,-0.0176,-0.0096,-0.0035,-0.01376,-0.00695,,,
11/19/2021,0.017,0.0198,-0.0061,0.0054,-0.0119,0.00484,0.0011,,,
11/18/2021,0.0285,-0.0565,0.0121,0.0063,-0.0041,-0.00274,0.0107,,,
11/17/2021,0.0165,0.0046,0.0012,-0.0011,0.0064,0.00552,0.00575,,,
11/16/2021,0.0067,-0.0552,-0.0039,0.0102,-0.0069,-0.00982,0.001525,,,
11/15/2021,0.0001,-0.0292,-0.0015,-0.0019,0.0022,-0.00606,-0.000275,,,
11/12/2021,0.0143,-0.0104,0.02,0.0129,0.0075,0.00886,0.013675,,,
11/11/2021,-0.0003,-0.0019,-0.0009,0.0049,-0.0018,0,0.000475,,,
11/10/2021,-0.0192,-0.0295,-0.0203,-0.0153,0.0024,-0.01638,-0.0131,,,
11/9/2021,0.0025,-0.0092,-0.0008,-0.0031,-0.0041,-0.00294,-0.001375,,,
11/8/2021,-0.0056,0.0672,0.0012,0.0028,0.0076,0.01464,0.0015,,,
11/5/2021,0.0021,-0.0071,0.0039,-0.0011,0.0056,0.00068,0.002625,,,
11/4/2021,-0.0035,-0.0239,0.0114,0.0073,0.0028,-0.00118,0.0045,,,
11/3/2021,0.0098,-0.0048,0.008,0.0026,-0.0056,0.002,0.0037,,,
11/2/2021,0.0071,0.0379,0.0135,0.0114,0.0094,0.01586,0.01035,,,
11/1/2021,-0.0056,-0.0064,-0.0307,-0.0068,-0.0037,-0.01064,-0.0117,,,
10/29/2021,-0.0182,0.0274,0.0151,0.0224,0.0044,0.01022,0.005925,,,
10/28/2021,0.025,0.0367,-0.0025,0.0037,0.0105,0.01468,0.009175,,,
10/27/2021,-0.0031,-0.0311,0.0496,0.0421,0.0226,0.01602,0.0278,,,
10/26/2021,0.0046,-0.0437,0.0135,0.0064,0.0045,-0.00294,0.00725,,,
10/25/2021,-0.0003,0.0362,-0.0009,-0.0033,-0.0028,0.00578,-0.001825,,,
10/22/2021,-0.0053,-0.0244,-0.0304,-0.0051,0.0032,-0.0124,-0.0094,,,
